"component"	"BIC"	"AIC"
2	494218.599297102	494174.354845177
3	490191.658448218	490120.867325138
4	489356.960002045	489259.622207811
5	489221.077483056	489097.193017666
6	489220.987711397	489070.556574852
7	489250.250978648	489073.273170949
8	489291.30602529	489087.781546437
9	489285.269125008	489055.197974999
10	489314.508922988	489057.891101825
