"component"	"BIC"	"AIC"
2	507004.003724266	506959.759272341
3	494877.9808467	494807.189723621
4	491019.602836266	490922.265042031
5	489447.606073933	489323.721608544
6	488837.97281419	488687.541677646
7	488591.728199571	488414.750391872
8	488505.446977495	488301.922498641
9	488391.69672089	488161.625570881
10	488387.295008752	488130.677187588
